#{"t_start": 1702597504.5211623, "env_id": "ALE/Breakout-v5"}
r,l,t
5.0,528,15867.117137
5.0,313,15906.73087
0.0,122,15922.125681
0.0,186,15945.591918
0.0,123,15960.918717
2.0,320,16001.790475
2.0,179,16024.514864
1.0,169,16045.709869
1.0,306,16084.131641
1.0,162,16104.315562
2.0,233,16133.809173
0.0,122,16149.31199
2.0,210,16175.927142
0.0,122,16191.205661
2.0,384,16239.787259
3.0,449,16299.092839
0.0,122,16317.024049
0.0,227,16347.148586
2.0,185,16371.227753
0.0,122,16387.024411
2.0,308,16426.948283
1.0,150,16446.291529
1.0,169,16468.548291
2.0,179,16496.888318
1.0,231,16527.048417
3.0,211,16553.692523
2.0,193,16578.160568
3.0,413,16629.99751
3.0,383,16678.292306
3.0,358,16723.306391
3.0,210,16750.031576
1.0,165,16770.736065
2.0,198,16795.85111
2.0,184,16819.293785
2.0,180,16841.96984
2.0,307,16880.930084
0.0,122,16896.421858
0.0,224,16924.730461
2.0,184,16948.017615
2.0,208,16974.277751
0.0,122,16989.707395
5.0,392,17039.256221
2.0,247,17070.646691
1.0,196,17095.595194
0.0,122,17110.825768
0.0,122,17126.296454
0.0,122,17141.427083
1.0,261,17174.605648
3.0,248,17205.888394
1.0,243,17236.504092
0.0,122,17252.173557
1.0,168,17273.433192
3.0,383,17322.522604
0.0,122,17337.983256
3.0,263,17371.402555
5.0,462,17430.380029
3.0,415,17483.288628
0.0,138,17500.661154
3.0,350,17544.926447
7.0,468,17604.38194
1.0,151,17623.547309
0.0,142,17641.442868
0.0,406,17693.064925
3.0,492,17755.014662
3.0,317,17794.965903
1.0,150,17814.147702
1.0,224,17842.551199
3.0,298,17880.296382
2.0,179,17902.79883
0.0,122,17917.946214
0.0,122,17933.649712
3.0,228,17962.355445
2.0,294,17999.459455
3.0,443,18055.61207
3.0,271,18089.761137
7.0,629,18169.538175
3.0,253,18201.895711
0.0,122,18217.331928
2.0,454,18274.821285
2.0,201,18300.463362
2.0,215,18327.408974
2.0,423,18381.082035
2.0,196,18406.16464
3.0,491,18468.235454
3.0,716,18559.006085
3.0,219,18586.638584
1.0,169,18608.039373
1.0,208,18634.269656
3.0,468,18693.226609
2.0,401,18743.797643
0.0,166,18764.772989
0.0,122,18780.234326
2.0,245,18810.965138
4.0,391,18860.748612
7.0,696,18949.343348
0.0,123,18964.924648
2.0,187,18988.849188
